County,Case Count,Death Count,Hospitalized Count,fips
Adams,12,1,2,39001
Allen,229,34,61,39003
Ashland,26,0,5,39005
Ashtabula,377,38,68,39007
Athens,22,1,2,39009
Auglaize,81,3,11,39011
Belmont,460,16,37,39013
Brown,32,1,6,39015
Butler,1045,32,184,39017
Carroll,36,3,9,39019
Champaign,34,1,4,39021
Clark,384,8,45,39023
Clermont,237,6,41,39025
Clinton,49,0,13,39027
Columbiana,903,55,136,39029
Coshocton,48,0,4,39031
Crawford,121,4,21,39033
Cuyahoga,5011,298,1237,39035
Darke,195,25,23,39037
Defiance,39,2,14,39039
Delaware,384,14,47,39041
Erie,191,16,37,39043
Fairfield,342,9,46,39045
Fayette,43,0,6,39047
Franklin,6741,313,867,39049
Fulton,52,0,7,39051
Gallia,9,1,3,39053
Geauga,327,35,75,39055
Greene,122,6,19,39057
Guernsey,44,2,6,39059
Hamilton,2975,174,603,39061
Hancock,60,1,10,39063
Hardin,78,3,6,39065
Harrison,10,0,2,39067
Henry,19,0,2,39069
Highland,31,1,7,39071
Hocking,73,7,16,39073
Holmes,72,3,4,39075
Huron,64,1,12,39077
Jackson,16,0,2,39079
Jefferson,69,2,17,39081
Knox,29,1,8,39083
Lake,337,12,73,39085
Lawrence,30,0,4,39087
Licking,285,10,39,39089
Logan,46,0,6,39091
Lorain,762,61,134,39093
Lucas,2390,270,593,39095
Madison,167,7,20,39097
Mahoning,1529,195,327,39099
Marion,2697,33,83,39101
Medina,394,26,74,39103
Meigs,6,0,0,39105
Mercer,239,8,39,39107
Miami,379,30,53,39109
Monroe,83,15,15,39111
Montgomery,847,17,195,39113
Morgan,6,0,0,39115
Morrow,108,1,8,39117
Muskingum,55,1,10,39119
Noble,6,0,2,39121
Ottawa,111,20,28,39123
Paulding,14,0,5,39125
Perry,21,1,7,39127
Pickaway,2110,39,57,39129
Pike,9,0,0,39131
Portage,346,58,80,39133
Preble,40,1,6,39135
Putnam,99,14,17,39137
Richland,234,4,35,39139
Ross,77,2,22,39141
Sandusky,102,13,33,39143
Scioto,19,0,5,39145
Seneca,28,2,8,39147
Shelby,49,3,18,39149
Stark,839,105,173,39151
Summit,1621,187,383,39153
Trumbull,620,53,164,39155
Tuscarawas,389,6,51,39157
Union,61,1,5,39159
Van Wert,8,0,1,39161
Vinton,21,2,6,39163
Warren,461,20,55,39165
Washington,118,19,15,39167
Wayne,302,52,42,39169
Williams,58,1,6,39171
Wood,312,49,66,39173
Wyandot,48,2,5,39175
