County,Case Count,Death Count,Hospitalized Count,fips
Adams,28,2,2,39001
Allen,391,41,79,39003
Ashland,78,2,13,39005
Ashtabula,452,44,81,39007
Athens,201,1,10,39009
Auglaize,112,4,14,39011
Belmont,572,24,44,39013
Brown,62,1,8,39015
Butler,1942,47,252,39017
Carroll,71,3,14,39019
Champaign,60,1,7,39021
Clark,832,10,67,39023
Clermont,532,7,64,39025
Clinton,92,2,18,39027
Columbiana,1405,60,161,39029
Coshocton,155,4,19,39031
Crawford,140,5,21,39033
Cuyahoga,9509,400,1760,39035
Darke,261,26,28,39037
Defiance,56,3,17,39039
Delaware,784,15,61,39041
Erie,308,22,53,39043
Fairfield,751,17,66,39045
Fayette,58,0,7,39047
Franklin,12574,449,1231,39049
Fulton,71,0,11,39051
Gallia,21,1,6,39053
Geauga,436,43,87,39055
Greene,380,9,41,39057
Guernsey,83,4,15,39059
Hamilton,7179,208,799,39061
Hancock,92,1,12,39063
Hardin,125,12,23,39065
Harrison,13,1,4,39067
Henry,38,0,6,39069
Highland,58,1,9,39071
Hocking,84,8,16,39073
Holmes,264,5,23,39075
Huron,264,3,25,39077
Jackson,32,0,3,39079
Jefferson,132,2,24,39081
Knox,59,1,10,39083
Lake,643,22,96,39085
Lawrence,93,0,9,39087
Licking,619,13,69,39089
Logan,73,1,6,39091
Lorain,1208,70,175,39093
Lucas,3110,306,655,39095
Madison,230,9,26,39097
Mahoning,1996,239,385,39099
Marion,2757,39,85,39101
Medina,614,32,80,39103
Meigs,13,0,0,39105
Mercer,304,10,51,39107
Miami,520,31,64,39109
Monroe,89,17,15,39111
Montgomery,2647,37,399,39113
Morgan,13,0,0,39115
Morrow,129,1,10,39117
Muskingum,106,1,18,39119
Noble,14,0,2,39121
Ottawa,219,24,32,39123
Paulding,35,0,8,39125
Perry,50,1,7,39127
Pickaway,2235,42,80,39129
Pike,29,0,7,39131
Portage,507,60,96,39133
Preble,96,1,15,39135
Putnam,146,15,21,39137
Richland,392,6,58,39139
Ross,154,3,32,39141
Sandusky,180,15,42,39143
Scioto,80,0,9,39145
Seneca,43,2,12,39147
Shelby,78,4,19,39149
Stark,1252,116,215,39151
Summit,2420,209,445,39153
Trumbull,1071,78,244,39155
Tuscarawas,628,11,74,39157
Union,119,1,10,39159
Van Wert,50,1,5,39161
Vinton,23,2,6,39163
Warren,1068,27,100,39165
Washington,149,20,15,39167
Wayne,378,56,50,39169
Williams,77,2,7,39171
Wood,515,51,77,39173
Wyandot,66,5,7,39175
